db_table,columns,dashboards
reporting_data.events_activity,"['account_id', 'account_name', 'account_organization_uuid', 'account_sf_id', 'attendees_count', 'attendees_lmi_qualification_not_applicable_count', 'attendees_lmi_qualification_self_reported_income_count', 'attendees_lmi_qualification_venue_income_level_count', 'engage_account_created_at', 'engage_account_enabled', 'event_cancellation_reason', 'event_cancelled_at', 'event_desired_volunteer_count', 'event_end_time', 'event_end_time_local', 'event_id', 'event_isdemo', 'event_lead_volunteer_count', 'event_lead_volunteer_email', 'event_lead_volunteer_full_name', 'event_length_hrs', 'event_location_name', 'event_manual_attendee_count', 'event_non_lead_volunteer_count', 'event_post_assessments_completed_count', 'event_pre_assessments_completed_count', 'event_start_time', 'event_start_time_local', 'event_time_zone', 'event_time_zone_abbreviation', 'event_title', 'event_topic', 'event_type', 'event_venue_area', 'event_venue_capacity', 'event_venue_formatted_address', 'event_venue_is_lmi', 'event_venue_location_county_name', 'event_venue_location_latitude', 'event_venue_location_longitude', 'event_venue_location_postal_code', 'event_venue_title', 'lead_volunteer_total_hours', 'lmi_attendees_count', 'non_lead_volunteer_total_hours', 'partner_contact_email', 'partner_contact_name', 'partner_contact_phone', 'partner_mission', 'partner_name', 'partner_serves_lmi', 'reservations_count']","{'Attendees Detail': 'https://tableau.everfiapps-dev.net/#/views/EngageDashboard_0/AttendeesDetail', 'Facilitators Detail': 'https://tableau.everfiapps-dev.net/#/views/EngageDashboard_0/FacilitatorsDetail', 'Events Detail': 'https://tableau.everfiapps-dev.net/#/views/EngageDashboard_0/EventsDetail', 'Engage Dashboard': 'https://tableau.everfiapps-dev.net/#/views/EngageDashboard_0/EngageDashboard'}"
reporting_data.events_activity,"['account_id', 'account_name', 'account_organization_uuid', 'account_sf_id', 'attendees_count', 'attendees_lmi_qualification_not_applicable_count', 'attendees_lmi_qualification_self_reported_income_count', 'attendees_lmi_qualification_venue_income_level_count', 'engage_account_created_at', 'engage_account_enabled', 'event_cancellation_reason', 'event_cancelled_at', 'event_desired_volunteer_count', 'event_end_time', 'event_end_time_local', 'event_id', 'event_isdemo', 'event_lead_volunteer_count', 'event_lead_volunteer_email', 'event_lead_volunteer_full_name', 'event_length_hrs', 'event_location_name', 'event_manual_attendee_count', 'event_non_lead_volunteer_count', 'event_post_assessments_completed_count', 'event_pre_assessments_completed_count', 'event_start_time', 'event_start_time_local', 'event_time_zone', 'event_time_zone_abbreviation', 'event_title', 'event_topic', 'event_type', 'event_venue_area', 'event_venue_capacity', 'event_venue_formatted_address', 'event_venue_is_lmi', 'event_venue_location_county_name', 'event_venue_location_latitude', 'event_venue_location_longitude', 'event_venue_location_postal_code', 'event_venue_title', 'lead_volunteer_total_hours', 'lmi_attendees_count', 'non_lead_volunteer_total_hours', 'partner_contact_email', 'partner_contact_name', 'partner_contact_phone', 'partner_mission', 'partner_name', 'partner_serves_lmi', 'reservations_count']","{'Attendees Detail': 'https://tableau.everfiapps-dev.net/#/views/EngageDashboard_0/AttendeesDetail', 'Facilitators Detail': 'https://tableau.everfiapps-dev.net/#/views/EngageDashboard_0/FacilitatorsDetail', 'Events Detail': 'https://tableau.everfiapps-dev.net/#/views/EngageDashboard_0/EventsDetail', 'Engage Dashboard': 'https://tableau.everfiapps-dev.net/#/views/EngageDashboard_0/EngageDashboard'}"
reporting_data.events_activity,"['account_id', 'account_name', 'account_organization_uuid', 'account_sf_id', 'attendees_count', 'attendees_lmi_qualification_not_applicable_count', 'attendees_lmi_qualification_self_reported_income_count', 'attendees_lmi_qualification_venue_income_level_count', 'engage_account_created_at', 'engage_account_enabled', 'event_cancellation_reason', 'event_cancelled_at', 'event_desired_volunteer_count', 'event_end_time', 'event_end_time_local', 'event_id', 'event_isdemo', 'event_lead_volunteer_count', 'event_lead_volunteer_email', 'event_lead_volunteer_full_name', 'event_length_hrs', 'event_location_name', 'event_manual_attendee_count', 'event_non_lead_volunteer_count', 'event_post_assessments_completed_count', 'event_pre_assessments_completed_count', 'event_start_time', 'event_start_time_local', 'event_time_zone', 'event_time_zone_abbreviation', 'event_title', 'event_topic', 'event_type', 'event_venue_area', 'event_venue_capacity', 'event_venue_formatted_address', 'event_venue_is_lmi', 'event_venue_location_county_name', 'event_venue_location_latitude', 'event_venue_location_longitude', 'event_venue_location_postal_code', 'event_venue_title', 'lead_volunteer_total_hours', 'lmi_attendees_count', 'non_lead_volunteer_total_hours', 'partner_contact_email', 'partner_contact_name', 'partner_contact_phone', 'partner_mission', 'partner_name', 'partner_serves_lmi', 'reservations_count']","{'Attendees Detail': 'https://tableau.everfiapps-dev.net/#/views/EngageDashboard_0/AttendeesDetail', 'Facilitators Detail': 'https://tableau.everfiapps-dev.net/#/views/EngageDashboard_0/FacilitatorsDetail', 'Events Detail': 'https://tableau.everfiapps-dev.net/#/views/EngageDashboard_0/EventsDetail', 'Engage Dashboard': 'https://tableau.everfiapps-dev.net/#/views/EngageDashboard_0/EngageDashboard'}"
reporting_data.events_activity,"['account_id', 'account_name', 'account_organization_uuid', 'account_sf_id', 'attendees_count', 'attendees_lmi_qualification_not_applicable_count', 'attendees_lmi_qualification_self_reported_income_count', 'attendees_lmi_qualification_venue_income_level_count', 'engage_account_created_at', 'engage_account_enabled', 'event_cancellation_reason', 'event_cancelled_at', 'event_desired_volunteer_count', 'event_end_time', 'event_end_time_local', 'event_id', 'event_isdemo', 'event_lead_volunteer_count', 'event_lead_volunteer_email', 'event_lead_volunteer_full_name', 'event_length_hrs', 'event_location_name', 'event_manual_attendee_count', 'event_non_lead_volunteer_count', 'event_post_assessments_completed_count', 'event_pre_assessments_completed_count', 'event_start_time', 'event_start_time_local', 'event_time_zone', 'event_time_zone_abbreviation', 'event_title', 'event_topic', 'event_type', 'event_venue_area', 'event_venue_capacity', 'event_venue_formatted_address', 'event_venue_is_lmi', 'event_venue_location_county_name', 'event_venue_location_latitude', 'event_venue_location_longitude', 'event_venue_location_postal_code', 'event_venue_title', 'lead_volunteer_total_hours', 'lmi_attendees_count', 'non_lead_volunteer_total_hours', 'partner_contact_email', 'partner_contact_name', 'partner_contact_phone', 'partner_mission', 'partner_name', 'partner_serves_lmi', 'reservations_count']","{'Attendees Detail': 'https://tableau.everfiapps-dev.net/#/views/EngageDashboard_0/AttendeesDetail', 'Facilitators Detail': 'https://tableau.everfiapps-dev.net/#/views/EngageDashboard_0/FacilitatorsDetail', 'Events Detail': 'https://tableau.everfiapps-dev.net/#/views/EngageDashboard_0/EventsDetail', 'Engage Dashboard': 'https://tableau.everfiapps-dev.net/#/views/EngageDashboard_0/EngageDashboard'}"
reporting_data.sponsored_learning_school_course_activities,[],{'CEos': 'https://tableau.everfiapps-dev.net/#/views/CEos-Staging/CEos'}
reporting_data.progress_report_data,[],"{'progress-record-count-by-org': 'https://tableau.everfiapps-dev.net/#/views/progressdashboarddownloadtestseperatedashboard_16217189718650/progress-record-count-by-org', 'Dashboard 1': 'https://tableau.everfiapps-dev.net/#/views/MyFirstExtension/Dashboard1'}"
reporting_data.progress_report_data,[],"{'progress-record-count-by-org': 'https://tableau.everfiapps-dev.net/#/views/progressdashboarddownloadtestseperatedashboard_16217189718650/progress-record-count-by-org', 'Dashboard 1': 'https://tableau.everfiapps-dev.net/#/views/MyFirstExtension/Dashboard1'}"
evalufi_data.sections,[],{'Dashboard': 'https://tableau.everfiapps-dev.net/#/views/SurveyRepeater/Dashboard'}
evalufi_data.sections,[],{'Dashboard': 'https://tableau.everfiapps-dev.net/#/views/SurveyRepeater/Dashboard'}
evalufi_data.sections,[],{'Dashboard': 'https://tableau.everfiapps-dev.net/#/views/SurveyRepeater/Dashboard'}
